section,metric,value
summary,total_items,50
top_words,dress,14
top_words,maxi,10
top_words,blend,6
top_words,mini,6
top_words,skirt,5
top_words,gold,5
top_words,leg,5
top_words,wool,4
top_words,yellow,4
top_words,top,4
top_words,leather,4
top_words,printed,4
top_words,midi,4
top_words,silk,3
top_words,pants,3
top_words,jacket,3
top_words,exclusive,3
top_words,fringed,3
top_words,jersey,3
top_words,rigid,3
top_bigrams,maxi dress,6
top_bigrams,mini dress,5
top_bigrams,yellow gold,4
top_bigrams,maxi skirt,3
top_bigrams,midi dress,3
top_bigrams,leg jeans,3
top_bigrams,open back,2
top_bigrams,modal blend,2
top_bigrams,blend jacket,2
top_bigrams,ribbon fringed,2
top_bigrams,fringed wool,2
top_bigrams,cashmere blend,2
top_bigrams,jersey maxi,2
top_bigrams,rigid high,2
top_bigrams,high rise,2
top_bigrams,rise straight,2
top_bigrams,straight leg,2
top_bigrams,wide leg,2
top_bigrams,leg pants,2
top_bigrams,yumei open,1
top_designers,Leo Lin,8
top_designers,Ulla Johnson,4
top_designers,Khaite,3
top_designers,By Malene Birger,3
top_designers,Vice Versa,3
top_designers,Isabel Marant,2
top_designers,St. Agni,2
top_designers,FFORME,2
top_designers,De La Vali,2
top_designers,HAIKURE,2
items,Leo Lin | Yumei Open-Back Silk Gown,https://www.modaoperandi.com/women/p/leo-lin/yumei-open-back-silk-gown/713644
items,Leo Lin | Jaclyn Draped Gown,https://www.modaoperandi.com/women/p/leo-lin/jaclyn-draped-gown-2/713655
items,Isabel Marant | Inaya Pleated Modal-Blend Pants,https://www.modaoperandi.com/women/p/isabel-marant/inaya-gb/706680
items,Leo Lin | Patsy Embellished Mini Dress,https://www.modaoperandi.com/women/p/leo-lin/patsy-embellished-mini-dress/713650
items,Marlies Grace | Olivia Wool-Blend Maxi Column Skirt,https://www.modaoperandi.com/women/p/marlies-grace/olivia-skirt/690187
items,Black Suede Studio | Theo Shearling Loafer Mules,https://www.modaoperandi.com/women/p/black-suede-studio/theo-loafer/713977
items,Sophie Bille Brahe | Cosmos Fleur 18K Yellow Gold Diamond Ring,https://www.modaoperandi.com/women/p/sophie-bille-brahe/cosmos-fleur/711171
